HPE,11/25/2019,0.46,0.49,6.5
HRB,12/4/2019,-0.91,-0.85,6.5
AAPL,10/30/2019,2.84,3.03,6.6
RL,11/7/2019,2.39,2.55,6.6
PGR,10/16/2019,1.33,1.42,6.7
ADSK,11/26/2019,0.73,0.78,6.8
AMP,10/23/2019,3.97,4.24,6.8
CSX,10/16/2019,1.01,1.08,6.9
MA,10/29/2019,2.01,2.15,6.9
MGM,10/30/2019,0.29,0.31,6.9
RMD,10/24/2019,0.87,0.93,6.9
LKQ,10/31/2019,0.57,0.61,7
RSG,10/30/2019,0.85,0.91,7
COG,10/24/2019,0.27,0.29,7.4
SLB,10/18/2019,0.4,0.43,7.5
TROW,10/24/2019,1.98,2.13,7.5
URI,10/16/2019,5.53,5.96,7.7
HOG,10/22/2019,0.51,0.55,7.8
VRTX,10/30/2019,1.14,1.23,7.8
LHX,10/30/2019,2.39,2.58,7.9
BK,10/16/2019,0.99,1.07,8
DHI,11/12/2019,1.25,1.35,8
ETFC,10/17/2019,1,1.08,8
MCO,10/30/2019,1.99,2.15,8
PCAR,10/22/2019,1.62,1.75,8
TFX,10/31/2019,2.75,2.97,8
CVX,11/1/2019,1.47,1.59,8.1
TPR,11/5/2019,0.37,0.4,8.1
CHD,10/31/2019,0.61,0.66,8.2
FRC,10/15/2019,1.21,1.31,8.2
WMB,10/30/2019,0.24,0.26,8.3
ZION,10/21/2019,1.08,1.17,8.3
AFL,10/24/2019,1.07,1.16,8.4
CTAS,9/24/2019,2.14,2.32,8.4
CME,10/30/2019,1.75,1.9,8.5
BBY,11/26/2019,1.04,1.13,8.6
STT,10/18/2019,1.39,1.51,8.6
AKAM,10/28/2019,1.01,1.1,8.9
LIN,11/12/2019,1.78,1.94,8.9
SYF,10/18/2019,1.12,1.22,8.9
ETR,10/30/2019,2.31,2.52,9
IP,10/31/2019,1,1.09,9
NBL,11/7/2019,-0.11,-0.1,9
APH,10/23/2019,0.87,0.95,9.2
KSU,10/18/2019,1.77,1.94,9.6
PWR,10/31/2019,1.04,1.14,9.6
VLO,10/24/2019,1.35,1.48,9.6
AEP,10/24/2019,1.33,1.46,9.7
IDXX,10/31/2019,1.13,1.24,9.7
PHM,10/22/2019,0.92,1.01,9.7
HUM,11/6/2019,4.58,5.03,9.8
JPM,10/15/2019,2.44,2.68,9.8
QCOM,11/6/2019,0.71,0.78,9.8
GLW,10/29/2019,0.4,0.44,10
MS,10/17/2019,1.1,1.21,10
CPRT,11/20/2019,0.59,0.65,10.1
ANET,10/31/2019,2.44,2.69,10.2
CAG,9/26/2019,0.39,0.43,10.2
BMY,10/31/2019,1.06,1.17,10.3
MSFT,10/23/2019,1.25,1.38,10.4
PG,10/22/2019,1.24,1.37,10.4
ALLE,10/24/2019,1.33,1.47,10.5
TDG,11/19/2019,5.08,5.62,10.6
ABMD,10/31/2019,0.93,1.03,10.7
BIIB,10/22/2019,8.27,9.17,10.8
