BKNG,11/7/2019,44.87,45.36,1
C,10/15/2019,1.96,1.98,1
CMA,10/16/2019,1.91,1.93,1
CNC,10/22/2019,0.95,0.96,1
DD,10/31/2019,0.95,0.96,1
MTD,11/7/2019,5.71,5.77,1
PKG,10/23/2019,1.9,1.92,1
SYY,11/4/2019,0.97,0.98,1
T,10/28/2019,0.93,0.94,1
SLG,10/16/2019,1.73,1.75,1.1
AJG,10/24/2019,0.79,0.8,1.2
BXP,10/29/2019,1.62,1.64,1.2
CBRE,11/6/2019,0.78,0.79,1.2
CE,10/21/2019,2.5,2.53,1.2
SWKS,11/12/2019,1.5,1.52,1.3
TAP,10/30/2019,1.46,1.48,1.3
WEC,11/6/2019,0.73,0.74,1.3
AAP,11/12/2019,2.07,2.1,1.4
AON,10/25/2019,1.43,1.45,1.4
CL,11/1/2019,0.7,0.71,1.4
DRI,9/19/2019,1.36,1.38,1.4
MKTX,10/23/2019,1.4,1.42,1.4
WBA,10/28/2019,1.41,1.43,1.4
CERN,10/24/2019,0.65,0.66,1.5
FFIV,10/23/2019,2.55,2.59,1.5
IBM,10/16/2019,2.64,2.68,1.5
OMC,10/15/2019,1.3,1.32,1.5
SEE,11/6/2019,0.63,0.64,1.5
TEL,10/30/2019,1.31,1.33,1.5
FLT,11/6/2019,3.05,3.1,1.6
ABBV,11/1/2019,2.29,2.33,1.7
ACN,9/26/2019,1.71,1.74,1.7
D,11/1/2019,1.16,1.18,1.7
FLIR,10/31/2019,0.58,0.59,1.7
SNPS,12/4/2019,1.13,1.15,1.7
MNST,11/7/2019,0.54,0.55,1.8
ABC,11/7/2019,1.58,1.61,1.9
IQV,10/30/2019,1.57,1.6,1.9
AMT,10/31/2019,1.96,2,2
ATO,11/6/2019,0.48,0.49,2
CFG,10/18/2019,0.96,0.98,2
GPC,10/17/2019,1.47,1.5,2
IPG,10/22/2019,0.48,0.49,2
TMO,10/23/2019,2.88,2.94,2
KEY,10/17/2019,0.47,0.48,2.1
LH,10/24/2019,2.84,2.9,2.1
XLNX,10/23/2019,0.92,0.94,2.1
CB,10/29/2019,2.64,2.7,2.2
DAL,10/10/2019,2.27,2.32,2.2
EXPD,11/5/2019,0.9,0.92,2.2
KMB,10/22/2019,1.8,1.84,2.2
DGX,10/22/2019,1.72,1.76,2.3
MDT,11/19/2019,1.28,1.31,2.3
GPN,10/31/2019,1.66,1.7,2.4
WRK,11/7/2019,1.21,1.24,2.4
WM,10/23/2019,1.16,1.19,2.5
ALB,11/6/2019,1.49,1.53,2.6
BSX,10/23/2019,0.38,0.39,2.6
GD,10/23/2019,3.06,3.14,2.6
GIS,9/18/2019,0.77,0.79,2.6
JCI,11/7/2019,0.76,0.78,2.6
