NOV,10/28/2019,0.10,-0.61,-710
AIV,10/31/2019,0.63,0.01,-98.4
SBAC,10/28/2019,2.08,0.19,-90.8
DLR,10/29/2019,1.64,0.24,-85.3
UDR,10/29/2019,0.52,0.09,-82.6
WYNN,11/6/2019,0.88,0.17,-80.6
FTI,10/23/2019,0.49,0.12,-75.5
VTR,10/25/2019,0.94,0.23,-75.5
EQIX,10/30/2019,5.45,1.41,-74.1
OXY,11/4/2019,0.41,0.11,-73.1
MOS,11/4/2019,0.27,0.08,-70.3
MAA,10/30/2019,1.55,0.49,-68.3
VNO,10/28/2019,0.87,0.28,-67.8
REG,10/30/2019,0.96,0.34,-64.5
MAC,10/31/2019,0.88,0.33,-62.5
KIM,10/24/2019,0.36,0.14,-61.1
O,11/4/2019,0.83,0.33,-60.2
ESS,10/23/2019,3.36,1.51,-55
FRT,10/30/2019,1.59,0.84,-47.1
IRM,10/31/2019,0.59,0.32,-45.7
AIG,11/1/2019,0.99,0.56,-43.4
SPG,10/30/2019,3.05,1.77,-41.9
TRV,10/22/2019,2.38,1.43,-39.9
EXR,10/29/2019,1.24,0.83,-33
PSA,10/29/2019,2.74,1.93,-29.5
BA,10/23/2019,2.04,1.45,-28.9
TIF,12/5/2019,0.85,0.65,-23.5
WFC,10/15/2019,1.15,0.92,-20
WY,10/25/2019,0.10,0.08,-20
GOOG,10/28/2019,12.57,10.12,-19.4
GOOGL,10/28/2019,12.57,10.12,-19.4
EQR,10/22/2019,0.88,0.71,-19.3
HAS,10/22/2019,2.22,1.84,-17.1
TRIP,11/6/2019,0.69,0.58,-15.9
PFG,10/24/2019,1.46,1.23,-15.7
TWTR,10/24/2019,0.20,0.17,-15
AVB,10/28/2019,2.35,2.00,-14.8
YUM,10/30/2019,0.94,0.80,-14.8
CF,10/30/2019,0.34,0.29,-14.7
FANG,11/5/2019,1.71,1.47,-14
KSS,11/19/2019,0.85,0.74,-12.9
NRG,11/7/2019,2.14,1.88,-12.1
UHS,10/24/2019,2.26,1.99,-11.9
EXPE,11/6/2019,3.82,3.38,-11.5
NEM,11/5/2019,0.40,0.36,-10
MET,10/30/2019,1.41,1.27,-9.9
IPGP,10/29/2019,1.19,1.08,-9.2
PNW,11/7/2019,3.03,2.77,-8.5
CHRW,10/29/2019,1.16,1.07,-7.7
CXO,10/29/2019,0.66,0.61,-7.5
LNC,10/30/2019,2.40,2.22,-7.5
APA,10/30/2019,-0.27,-0.29,-7.4
CPRI,11/6/2019,1.25,1.16,-7.2
BEN,10/25/2019,0.65,0.61,-6.1
CAT,10/23/2019,2.82,2.66,-5.6
BR,11/6/2019,0.72,0.68,-5.5
MO,10/31/2019,1.14,1.08,-5.2
AMZN,10/24/2019,4.46,4.23,-5.1
GS,10/15/2019,5.03,4.79,-4.7
DTE,10/28/2019,2.00,1.91,-4.5
BLL,10/31/2019,0.73,0.70,-4.1
DXC,11/11/2019,1.44,1.38,-4.1
GWW,10/23/2019,4.44,4.26,-4
MCD,10/22/2019,2.20,2.11,-4
MTB,10/17/2019,3.61,3.47,-3.8
XEL,10/24/2019,1.05,1.01,-3.8
FDX,9/17/2019,3.17,3.05,-3.7
